lemma,reason,gloss
مِنْطَقَة,long gloss,Ah; speaking of which...
صَحِيفَة,long gloss,In fact; I'm not sure.
نَحْو,long gloss,We're... we're... we're... we
سَعُودِيّ,long gloss,Will you come back?
سَبَق,long gloss,"Previously on ""The Big Bang..."""
ٱِثْنَيْنِ,long gloss,How can we imitate Jehovah's purpose?
تَناوَل,long gloss,You're taking a piss.
ٱِعْتَمَد,long gloss,"Ideas: ""I'm sorry; I'm sorry"
فَرْض,long gloss,Permission to do so.
بَنْك,long gloss,Son of a bitch.
صار,long gloss,It's... it's... it's... it
شَبّ,long gloss,Shh... Shh... Shh... shh..
سَبِيل,long gloss,We're gonna... we're gonna...
ٱِنْتَمَى,long gloss,It's a good thing to do.
ٱِمْتَلَك,long gloss,You have your own.
كَوْن,long gloss,Be... be... be... be... be..
ٱِرْتَكَب,long gloss,Do you want to do what you want to do?
ٱِقْتَرَح,long gloss,"The Bible says: ""I am not going to do this; but I am not going to"
ٱِسْتَبْعَد,long gloss,Go on; go on.
سَراح,long gloss,I'm going to bed.
ٱِحْتَوَى,long gloss,""" I'm sorry; "" she says."
كَيْفِيَّة,long gloss,How can we do this?
ٱِكْتَفَى,long gloss,How can we show that we are not in a position to do so?
تَصَدِّي,long gloss,Come on; come on
ٱِشْتَرَى,long gloss,(b) What can we learn from the Bible?
ٱِسْتِفادَة,long gloss,How can we imitate God's Word?
ٱِنْتَخَب,long gloss,ELSE TO BE ELECTIONED
واسِطَة,long gloss,♪ By me ♪ ♪ By me ♪ ♪ By me ♪
أَغْلَبِيَّة,long gloss,""" I'm the one who's the one who's the one who's"
مُسابَقَة,long gloss,"Previously on ""The Heavens..."""
تِكْنُولُوجِيا,long gloss,You know; you know
صارُوخِيّ,long gloss,They're so freaking out.
مَسْعَى,long gloss,I can't... I can't... I can't.
تَمْيِيز,long gloss,You know; I don't know.
أَوان,long gloss,Ow! Ow! Ow! Ow!
ٱِقْتَضَى,long gloss,"He said: ""I'm sorry; I'm sorry"
مِرْوَحِيَّة,long gloss,How can we imitate God's Word?
أَسْبَق,long gloss,I've been ahead of you.
تَدَهْوُر,long gloss,It's over. It's over. It's over. It's over
عاشِر,long gloss,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪
طَلَع,long gloss,Hey; check it out.
شَرِيط,long gloss,♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪
إِحْصاء,long gloss,♪ Shot ♪ ♪ Shot ♪ ♪ Shot ♪
شَفّافِيَّة,long gloss,I'm sorry. I'm sorry.
عَنِيف,long gloss,I'm sorry. I'm sorry. I'm sorry.
عَبْدالرَحْمَن,long gloss,To worship the mercy of...
اللّٰهُمَّ,long gloss,They're... they're... they're... they
مُسْبَق,long gloss,"Previously on ""Once Upon a Time..."""
ٱِنْطَوَى,long gloss,(b) What will we learn from Jehovah's Word? (b) How can we
السابق،,long gloss,"Previously on ""Once Upon a Time..."""
مَقْصُود,long gloss,It's meant to be.
ٱِسْتِضافَة,long gloss,"The Bible says: ""I am not going to be able to do this; but I am"
ٱِنْدَرَج,long gloss,"The Bible says: ""I am not going to do this; but I am not going to"
بَرّ,long gloss,Out of the blue.
تَعَدُّد,long gloss,You make a number.
جَلِيل,long gloss,Ah; a little bit.
نَصْح,long gloss,We're gonna have to take care of it.
مَكْسِيك,long gloss,I'm gonna put you on.
أَفْغان,long gloss,I'm going to... I'm going to...
ٱِسْتَوْجَب,long gloss,As a matter of fact; we need to do what we need to do.
خامَنِئِيّ,long gloss,I don't know. I don't know.
تَمْهِيدِيّ,long gloss,You're making me happy.
ٱِنْتَهَج,long gloss,How can we imitate Jehovah's purpose?
ٱِسْتَنْكَر,long gloss,""" I'm sorry; "" she says."
حَيْلُولَة,long gloss,How can you help us?
ٱِضْطَلَع,long gloss,Do you know what you're doing?
ٱِسْتَوْعَب,long gloss,How can we be sure that we will be able to do so?
تِبِت,long gloss,Come on; come on
ٱِنْفَرَد,long gloss,How can we show that we are in a position to do so?
وَهْم,long gloss,And they're... they're... they're...
ٱِسْتَقَلّ,long gloss,You're gonna get out of here.
ٱِسْتِشارَة,long gloss,"The Bible says: ""I am not a man. """
مَيّ,long gloss,My... my... my... my... my..
